Description,Price,Image URL
"WA11 Top Load Washing Machine, 11 kg Capacity, Grey","20,649",https://m.media-amazon.com/images/I/51R7eYhlqeL._AC_UL320_.jpg
"Galaxy Buds3, Silver, Wireless Bluetooth Earbuds with Adaptive EQ/ANC, Hi-Fi Sound, 360 Audio, 1 Year Local Warranty","11,592",https://m.media-amazon.com/images/I/61ISz5RmNtL._AC_UL320_.jpg
"RB34T672FB1 No Frost 340 Liter Refrigerator - 12 Cubic Feet with Freezer on Bottom, Black- (local warranty)","4,250",https://m.media-amazon.com/images/I/41XL3TUPT1L._AC_UL320_.jpg
Refrigerator RT40A3010SA/MR 396 Liters - 14 Cubic Feet - Metal Graphite- (local warranty),"27,033",https://m.media-amazon.com/images/I/511PQavIV7L._AC_UL320_.jpg
"27-Inch Essential Monitor S3, IPS, Full HD Monitor, Refresh Rate 100Hz & Response Time 5ms(GTG)","22,309",https://m.media-amazon.com/images/I/41N2+8+9VWL._AC_UL320_.jpg
"SMART 10–Iris Blue""120Hz LCD Display 6.67 inches,4+4GB RAM, 128GB Storage,8MP Front & Rear Camera, IP64, 5000mAh,Type-C, Android 15, Dual SIM, 24Month Warranty, 6 month screen Warranty","5,140",https://m.media-amazon.com/images/I/61Jr2kiDFtL._AC_UL320_.jpg
Side by Side Refrigerator RS66A8100B1/MR 641L - 23 Cubic Feet - Black- (local warranty),"3,999",https://m.media-amazon.com/images/I/41+kWs8d9sL._AC_UL320_.jpg
"Odyssey G50D, 32-Inch Fast IPS, 2K QHD (2560 x 1440), Refresh Rate 180Hz & Response Time 1ms(GTG) Gaming Computer Monitor, AMD FreeSync, G-Sync Compatible","69,449",https://m.media-amazon.com/images/I/810Sytc27aL._AC_UL320_.jpg
WW90T534DAN1AS Digital Inverter Front Loading Washing Machine With Wi-Fi - 9Kg - Inox- (local warranty),"13,990",https://m.media-amazon.com/images/I/61T7v5AeRBL._AC_UL320_.jpg
WASHING MACHINE 8KG 1400RPM DIGITAL INVERTER ECO BUBBLE WI-FI STEAM INOX WW80T534DAN1AS- (local warranty),"26,270",https://m.media-amazon.com/images/I/61T7v5AeRBL._AC_UL320_.jpg
"Galaxy Tab A9 4G LTE, 8.7 Inch Android Tablet, 4GB RAM, 64GB Storage,8MP Rear Camera, Graphite -1 Year Warranty/Local Version","22,507",https://m.media-amazon.com/images/I/51xkzOX2sOL._AC_UL320_.jpg
"Galaxy Buds FE, Wireless, with Charging Case, ANC and Sound Customization, White, SM-R400NZWAMEA-1 Year Local Warranty","6,555",https://m.media-amazon.com/images/I/41eKlItSQQL._AC_UL320_.jpg
WW70T4020CX1AS Digital Inverter Front Loading Washing Machine - 7Kg - Inox- (local warranty),"2,750",https://m.media-amazon.com/images/I/51+-GVWDNlL._AC_UL320_.jpg
43 Inch Full HD Smart LED TV with Built-in Receiver - Black - UA43F6000FUXEG [2025 Model],"17,777",https://m.media-amazon.com/images/I/71o2-xjLJDL._AC_UL320_.jpg
"RT33 Frost Free Double Door Refrigirator, 321 Liters Capacity, Silver","12,699",https://m.media-amazon.com/images/I/51-GHWbl9KL._AC_UL320_.jpg
"Galaxy Tab A9+ Plus 5G (128GB, 8GB, 2024) 11"" 90Hz, Snapdragon 695 5G, Android 13 Cellular 5G Tablet (International Model Fully Unlocked for US & Global) X216 (w/Fast Charger, Graphite)","22,800",https://m.media-amazon.com/images/I/41vsiWiVmXL._AC_UL320_.jpg
"Type-C 25 Watt Fast Charge Adapter, Black, EP-T2510NBEGWW","12,500",https://m.media-amazon.com/images/I/611VUBX5iZL._AC_UL320_.jpg
"Galaxy Buds3 Pro, Wireless Bluetooth Earbuds with Adaptive: Noise Control, Hi-Fi Sound, 360 Audio-White - 1 Year Local Warranty",409,https://m.media-amazon.com/images/I/51NQd56j7WL._AC_UL320_.jpg
"32-Inch G55C, VA 2K QHD Curved Gaming Monitor, 165hz Refresh rate, 1ms MPRT, Supports AMD FreeSync, Local Warranty","6,550",https://m.media-amazon.com/images/I/61VpVgIyheL._AC_UL320_.jpg
WA19CG6745BVAS Digital Inverter Topload Ecobubble Washing Machine - 19Kg (local warranty),"10,280",https://m.media-amazon.com/images/I/51dNP0SESjL._AC_UL320_.jpg
"Moto g85 5G 12GB RAM 256GB UFS Android 14 pOLED Smartphone, Urban Grey, 2 years Warranty (Pack include charger and cover)","21,203",https://m.media-amazon.com/images/I/71zjC-UTs1L._AC_UL320_.jpg
Original 45W PD Power Adapter With Compact Design/USB-C Port/USB Type-C to C Cable (5A/1.8m) Super Fast Charging- (Black),"11,733",https://m.media-amazon.com/images/I/51v5AlCH2-L._AC_UL320_.jpg
65 Inch 4K UHD Smart LED TV with Built-in Receiver - UA65DUE800UXEG,"1,344",https://m.media-amazon.com/images/I/81OJT1hDMeL._AC_UL320_.jpg
"Galaxy Z Flip7, Al Phone, Jetblack, 512GB Storage, 12GB Memory,50MP Camera for Selfie, 3nm Processor, 4300mAh Battery Amazon Exclusive (UAE Version)","24,999",https://m.media-amazon.com/images/I/61wlwg1L5lL._AC_UL320_.jpg
"Galaxy Fit3 Smartwatch, Exercise and Sleep Tracking, Fall Detection, Bluetooth, 40mm, Gray","61,950",https://m.media-amazon.com/images/I/5163cMsZUsL._AC_UL320_.jpg
"Odyssey G30D Full HD Gaming Monitor, 24-Inch Screen with VA Panel, 1920 x 1080 Pixels, Refresh Rate 180 Hz & Response Time 1 ms (MPRT), AMD FreeSync, HDR10","1,985",https://m.media-amazon.com/images/I/81Kc4EZN1YL._AC_UL320_.jpg
"Galaxy S25 Ultra AI Phone, 1TB Storage, 12GB RAM, Titanium Black, Android Smartphone, 200MP Camera, S Pen, Long Battery Life, 1 Year Warranty/Local Version","6,499",https://m.media-amazon.com/images/I/61NUR7kNpZL._AC_UL320_.jpg
"Earphones, Black - CX330","77,999",https://m.media-amazon.com/images/I/51Z11ASqDLL._AC_UL320_.jpg
